cluster_id,access_count
0,13
1,0
2,0
3,2
4,0
5,8
6,42
7,50
8,7
9,28
10,0
11,53
12,4
13,1
14,30
15,0
16,44
17,29
18,0
19,0
20,26
21,0
22,2
23,0
24,21
25,8
26,35
27,0
28,0
29,0
30,8
31,0
32,5
33,0
34,0
35,4
36,0
37,5
38,0
39,25
40,1
41,53
42,22
43,31
44,0
45,16
46,0
47,16
48,21
49,8
50,1
51,65
52,0
53,0
54,4
55,0
56,74
57,0
58,1
59,0
60,0
61,2
62,0
63,86
64,42
65,4
66,72
67,12
68,6
69,55
70,0
71,9
72,4
73,12
74,0
75,0
76,28
77,0
78,0
79,0
80,0
81,0
82,39
83,15
84,14
85,0
86,53
87,0
88,41
89,15
90,0
91,0
92,0
93,2
94,84
95,4
96,0
97,0
98,0
99,0
100,9
101,17
102,11
103,47
104,46
105,15
106,0
107,0
108,0
109,0
110,0
111,9
112,3
113,0
114,0
115,18
116,1
117,30
118,0
119,79
120,2
121,14
122,0
123,0
124,0
125,18
126,52
127,0
128,0
129,0
130,23
131,0
132,29
133,0
134,33
135,5
136,14
137,12
138,0
139,0
140,22
141,14
142,0
143,0
144,1
145,10
146,29
147,42
148,49
149,36
150,45
151,0
152,13
153,0
154,22
155,0
156,29
157,72
158,6
159,2
160,6
161,0
162,4
163,56
164,1
165,5
166,7
167,0
168,18
169,28
170,2
171,0
172,38
173,58
174,43
175,7
176,25
177,2
178,0
179,79
180,41
181,0
182,30
183,0
184,38
185,0
186,70
187,1
188,5
189,0
190,47
191,0
192,59
193,6
194,70
195,0
196,6
197,0
198,0
199,0
200,3
201,8
202,0
203,0
204,5
205,3
206,0
207,0
208,30
209,43
210,0
211,8
212,0
213,2
214,2
215,6
216,42
217,0
218,15
219,14
220,2
221,1
222,4
223,0
224,2
225,0
226,0
227,0
228,0
229,8
230,0
231,0
232,0
233,25
234,1
235,20
236,15
237,3
238,0
239,8
240,19
241,6
242,0
243,15
244,0
245,44
246,0
247,44
248,13
249,9
250,2
251,0
252,12
253,0
254,28
255,78
256,0
257,0
258,2
259,0
260,0
261,74
262,3
263,0
264,34
265,1
266,0
267,4
268,24
269,29
270,10
271,37
272,0
273,0
274,0
275,0
276,4
277,42
278,3
279,0
280,2
281,14
282,30
283,0
284,17
285,2
286,18
287,0
288,34
289,0
290,1
291,14
292,1
293,2
294,0
295,8
296,1
297,4
298,32
299,0
300,15
301,13
302,0
303,12
304,28
305,0
306,20
307,0
