B(MB),E(K),QPS,Recall@10
480,100,434.94,92.15
,,323.98,94.31
,,250.54,95.68
,,218.35,96.56
,,185.63,97.14
,,163.49,97.6
,,144.38,97.88
,,130.66,98.25
,,118.69,98.59
,,108.62,98.78
,,100.21,98.91
,,92.76,99.05
,,86.83,99.13
150,10,357.7,92.15
,,275.56,94.31
,,222.63,95.68
,,186.48,96.56
,,159.69,97.14
,,139.81,97.6
,,125.51,97.88
,,111.74,98.25
,,101.77,98.59
,,93.76,98.78
,,85.61,98.91
,,80.26,99.05
,,74.1,99.13
115,1,344.51,92.15
,,269.73,94.31
,,214.89,95.68
,,182.95,96.56
,,156.34,97.14
,,137.67,97.6
,,119.07,97.88
,,109.94,98.25
,,100.28,98.59
,,91.27,98.78
,,84.3,98.91
,,78.57,99.05
,,72.25,99.13
