time,rss_mb,cpu_percent,read_kbs,write_kbs,read_chars_kbs,write_chars_kbs,minor_faults_s,major_faults_s
2025-08-18 14:48:53.088198,706.39,20.0,53760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.192355,706.39,20.0,53600.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.292941,706.39,20.0,70240.0,0.0,0.0,0.0,4480.0,0.0
2025-08-18 14:48:53.393504,707.26,20.0,33280.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.493958,707.26,20.0,84480.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.594507,707.26,10.0,71680.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.695098,707.26,30.0,73600.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.795650,707.26,30.0,62360.0,0.0,0.0,0.0,8960.0,0.0
2025-08-18 14:48:53.896213,709.01,20.0,60840.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:53.996845,709.01,20.0,49320.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:54.097438,709.01,30.0,67920.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:54.202769,709.01,10.0,54280.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:54.303356,709.01,30.0,58240.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:48:54.403952,709.01,30.0,81080.0,0.0,0.0,0.0,540.0,0.0
2025-08-18 14:48:54.504568,709.01,30.0,66760.0,0.0,0.0,0.0,530.0,0.0
2025-08-18 14:48:54.605164,709.27,0.0,24000.0,0.0,0.0,0.0,200.0,0.0
2025-08-18 14:48:54.705784,709.27,30.0,56400.0,0.0,0.0,0.0,450.0,0.0
2025-08-18 14:48:54.806380,709.52,30.0,57200.0,0.0,0.0,0.0,460.0,0.0
2025-08-18 14:48:54.907010,709.78,30.0,69760.0,0.0,0.0,0.0,18520.0,0.0
2025-08-18 14:48:55.007648,713.51,30.0,90560.0,0.0,0.0,0.0,730.0,0.0
