repeat_id,index_type,N,d,metric,topk,nq,threads,hnsw_M,hnsw_efC,hnsw_efS,build_s,search_s,qps,avg_ms_per_q,p50_ms,p95_ms,p99_ms,recall_at_k,index_bytes
0,flat,10000,64,l2,10,1000,16,,,,0.001712,0.094149,10621.417,0.094,0.302,0.317,9.212,1.000000,2560045
0,hnsw,10000,64,l2,10,1000,16,16,100,64,1.059199,0.025106,39830.871,0.025,0.134,0.142,0.145,0.898300,4000442
0,hnsw,10000,64,l2,10,1000,16,16,100,128,0.759772,0.044202,22623.380,0.044,0.265,0.277,0.293,0.969700,4000442
0,hnsw,10000,64,l2,10,1000,16,16,100,256,0.733448,0.082991,12049.484,0.083,0.558,4.488,9.294,0.992500,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,64,1.131411,0.021677,46131.903,0.022,0.140,0.151,8.472,0.907000,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,128,1.138723,0.047939,20859.728,0.048,0.278,0.319,11.114,0.975600,4000442
0,hnsw,10000,64,l2,10,1000,16,16,200,256,0.977315,0.077179,12956.965,0.077,0.575,8.373,9.253,0.996000,4000442
0,hnsw,10000,64,l2,10,1000,16,32,100,64,0.780421,0.029195,34253.022,0.029,0.180,0.192,0.196,0.957200,5277858
0,hnsw,10000,64,l2,10,1000,16,32,100,128,0.745393,0.049174,20335.955,0.049,0.342,0.396,0.595,0.992700,5277858
0,hnsw,10000,64,l2,10,1000,16,32,100,256,1.028403,0.097195,10288.631,0.097,0.668,0.688,0.754,0.998400,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,64,1.357336,0.025497,39219.744,0.025,0.196,0.215,0.355,0.967700,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,128,1.162833,0.052833,18927.498,0.053,0.380,0.625,16.749,0.994500,5277858
0,hnsw,10000,64,l2,10,1000,16,32,200,256,1.180442,0.095196,10504.628,0.095,0.712,4.660,9.838,0.999600,5277858
1,flat,10000,64,l2,10,1000,16,,,,0.000810,0.056775,17613.434,0.057,0.301,0.309,0.488,1.000000,2560045
1,hnsw,10000,64,l2,10,1000,16,16,100,64,0.882351,0.021083,47430.631,0.021,0.141,0.165,12.141,0.894800,4000442
1,hnsw,10000,64,l2,10,1000,16,16,100,128,0.831993,0.046849,21345.204,0.047,0.273,0.293,9.111,0.967900,4000442
1,hnsw,10000,64,l2,10,1000,16,16,100,256,0.685276,0.081725,12236.230,0.082,0.570,0.722,15.919,0.992800,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,64,1.286299,0.027211,36749.206,0.027,0.146,0.193,9.131,0.905600,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,128,1.537893,0.052904,18902.215,0.053,0.281,0.330,8.777,0.976700,4000442
1,hnsw,10000,64,l2,10,1000,16,16,200,256,1.369930,0.085682,11671.093,0.086,0.574,0.682,9.635,0.996100,4000442
1,hnsw,10000,64,l2,10,1000,16,32,100,64,0.729299,0.024871,40207.532,0.025,0.187,1.003,6.176,0.956200,5277858
1,hnsw,10000,64,l2,10,1000,16,32,100,128,0.784846,0.055959,17870.288,0.056,0.345,0.358,0.372,0.992000,5277858
1,hnsw,10000,64,l2,10,1000,16,32,100,256,0.871160,0.100112,9988.858,0.100,0.670,4.522,9.572,0.998700,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,64,1.200076,0.030412,32882.084,0.030,0.203,0.245,8.297,0.967700,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,128,1.299220,0.051824,19296.136,0.052,0.358,0.375,0.524,0.994800,5277858
1,hnsw,10000,64,l2,10,1000,16,32,200,256,1.172384,0.106985,9347.114,0.107,0.705,0.872,5.801,0.999000,5277858
0,flat,50000,64,l2,10,1000,16,,,,0.009513,0.311635,3208.886,0.312,1.426,1.524,2.758,1.000000,12800045
0,hnsw,50000,64,l2,10,1000,16,16,100,64,6.241391,0.035008,28565.065,0.035,0.232,0.554,8.323,0.716100,20015290
0,hnsw,50000,64,l2,10,1000,16,16,100,128,6.152741,0.061254,16325.341,0.061,0.382,0.494,15.476,0.851200,20015290
0,hnsw,50000,64,l2,10,1000,16,16,100,256,6.221829,0.102294,9775.762,0.102,0.865,5.029,8.502,0.933700,20015290
0,hnsw,50000,64,l2,10,1000,16,16,200,64,8.976420,0.036259,27579.675,0.036,0.220,0.258,0.555,0.739600,20015290
0,hnsw,50000,64,l2,10,1000,16,16,200,128,9.326346,0.054818,18242.274,0.055,0.411,0.940,11.670,0.873800,20015290
0,hnsw,50000,64,l2,10,1000,16,16,200,256,8.340217,0.105653,9464.915,0.106,0.819,1.171,17.103,0.952500,20015290
0,hnsw,50000,64,l2,10,1000,16,32,100,64,8.661272,0.063656,15709.480,0.064,0.329,0.399,8.890,0.849500,26412578
0,hnsw,50000,64,l2,10,1000,16,32,100,128,7.695244,0.072456,13801.570,0.072,0.578,0.760,16.763,0.947200,26412578
0,hnsw,50000,64,l2,10,1000,16,32,100,256,8.057036,0.140672,7108.758,0.141,0.833,7.252,10.166,0.986300,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,64,7.224312,0.044735,22353.944,0.045,0.335,0.373,0.402,0.877000,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,128,12.941405,0.073786,13552.627,0.074,0.591,3.562,13.646,0.966000,26412578
0,hnsw,50000,64,l2,10,1000,16,32,200,256,11.682013,0.152170,6571.588,0.152,0.864,1.963,10.487,0.992300,26412578
